timestamp,bert_option,num_classes,checkpoint_path,micro_precision,micro_recall,micro_f1,precisions,recalls,fscores,supports
2026-07-04 20:19:52,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:22:02,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:24:10,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:26:20,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:28:35,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:31:04,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:33:31,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:35:56,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:38:18,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:40:39,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:42:58,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:45:21,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:47:30,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:49:38,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:51:46,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
2026-07-04 20:53:55,bert-base,9,../data/spabert_models/spabert_base.pth,0.880,0.880,0.880,"['0.777', '0.717', '0.738', '0.974', '0.903', '0.922', '0.871', '0.902', '1.000']","['0.659', '0.687', '0.667', '0.975', '0.903', '0.918', '0.949', '0.917', '0.542']","['0.713', '0.701', '0.701', '0.975', '0.903', '0.920', '0.908', '0.909', '0.703']","[492, 453, 279, 857, 1251, 452, 1498, 1367, 72]"
